acheteur_id,high_edges,edges,max_risk
22650001500012,2,14,0.71307402972182
21290130000013,1,1,0.7905056989739474
21310462300011,1,1,0.7855804743334462
21310451600017,1,2,0.782689967751153
21600150300012,1,1,0.7696102263470047
13000190200068,1,1,0.7641994468729855
20006779100018,1,2,0.7628966159948823
20005340300057,1,1,0.7596741948059365
21090032000180,1,1,0.7596618262925948
21680338700010,1,1,0.7579480903281064
22300001900073,1,1,0.756754031345735
20006898900140,1,3,0.7545945928221358
21850234200015,1,1,0.7536875721505055
21060123300302,1,1,0.7532015119799729
20005550700012,1,1,0.7530891694637327
21030185900018,1,1,0.7526591531797966
20007264300014,1,1,0.7515743668819217
21690264300016,1,1,0.7507832420540331
21730157100014,1,1,0.7506621436751765
21130076900018,1,1,0.7502523711291234
