community_id,suppliers_count,buyers_count,edges_count,high_risk_edges,mean_risk,median_risk,mean_offers,mean_edge_share_buyer,mean_edge_share_supplier,high_risk_share,high_risk_enrichment
37,28,6,34,2,0.3622366536540341,0.3765989124338244,3.2294117647058824,0.1398716292776861,0.8235294117647058,0.058823529411764705,1.1745454545454546
515,20,1,20,1,0.36679166456131773,0.3563765409778012,3.6916666666666664,0.049999999999999954,1.0,0.05,0.9983636363636363
562,60,13,72,3,0.3575481777688424,0.3545015524151081,3.5277777777777777,0.14959876926416793,0.8333333333333334,0.041666666666666664,0.8319696969696969
348,24,5,29,1,0.3901989128430921,0.3901964594866536,2.2876847290640394,0.17241379310344823,0.8275862068965517,0.034482758620689655,0.688526645768025
569,121,33,159,4,0.3557226096101993,0.3524395565045832,3.7293668071969956,0.17578808245826344,0.7610062893081762,0.025157232704402517,0.5023213264722699
576,32,10,41,1,0.39758403767864126,0.3961731805244054,2.5934959349593494,0.22966063859109914,0.7804878048780488,0.024390243902439025,0.48700665188470066
650,186,45,239,4,0.34236543888739834,0.3340921725479123,3.4419297578293393,0.1532252199255585,0.7782426778242678,0.016736401673640166,0.3341802966907569
520,111,27,144,2,0.3760612773230814,0.3486330621151062,3.226388888888889,0.14216030628529064,0.7708333333333334,0.013888888888888888,0.2773232323232323
278,107,35,150,2,0.3416311988768014,0.3419359247789746,3.1255555555555556,0.17433825620741586,0.7133333333333334,0.013333333333333334,0.26623030303030304
550,118,33,155,2,0.3703764182774474,0.3718518022185517,3.2989247311827956,0.20462215995412497,0.7612903225806451,0.012903225806451613,0.25764222873900294
200,231,55,311,4,0.34085497726064845,0.3365709460735441,3.2590414944112696,0.15755085871545393,0.7427652733118971,0.012861736334405145,0.2568137971353405
516,71,12,87,1,0.34269707749886197,0.3266578570225006,3.3776683087027912,0.13291269813843354,0.8160919540229885,0.011494252873563218,0.22950888192267502
