titulaire_id,high_edges,edges,max_risk
87946802300012,1,1,0.7905056989739474
44492210800022,1,1,0.7855804743334462
35126720800012,1,1,0.782689967751153
52602061500070,1,1,0.7696102263470047
42856921400029,1,1,0.7641994468729855
53396945700043,1,1,0.7628966159948823
50347374600017,1,1,0.7596741948059365
37820971200025,1,1,0.7596618262925948
88884432100016,1,1,0.7579480903281064
84243764200015,1,1,0.756754031345735
44261462400017,1,1,0.7545945928221358
79104589100052,1,1,0.7536875721505055
43328856000025,1,1,0.7532015119799729
33164525900010,1,1,0.7530891694637327
48068018000035,1,1,0.7526591531797966
34758223100226,1,1,0.7515743668819217
50887319700059,1,1,0.7507832420540331
39963124100037,1,1,0.7506621436751765
32871103100034,1,1,0.7502523711291234
84371225800022,1,1,0.749868739569032
